time,X,Y,Z
2021-09-15 06:08:30,-18292778.24681017,11512583.120366536,15375892.881767375
2021-09-15 06:09:00,-18352141.544524044,11508803.040730197,15309035.855503635
2021-09-15 06:09:30,-18411256.28455848,11505116.002482263,15241884.554985622
2021-09-15 06:10:00,-18470121.23619488,11501520.985827176,15174440.293619027
2021-09-15 06:10:30,-18528735.176992383,11498016.964278122,15106704.390258625
2021-09-15 06:11:00,-18587096.892833352,11494602.904708164,15038678.169180885
2021-09-15 06:11:30,-18645205.177968387,11491277.767401747,14970362.960056555
2021-09-15 06:12:00,-18703058.835060943,11488040.506106496,14901760.097923242
2021-09-15 06:12:30,-18760656.675231628,11484890.068085274,14832870.923157798
2021-09-15 06:13:00,-18817997.51810219,11481825.394168492,14763696.78144863
2021-09-15 06:13:30,-18875080.191839002,11478845.418806782,14694239.023768011
2021-09-15 06:14:00,-18931903.533196274,11475949.070123857,14624499.006344171
2021-09-15 06:14:30,-18988466.387558937,11473135.26996967,14554478.090633363
2021-09-15 06:15:00,-19044767.608984984,11470402.933973912,14484177.643291945
2021-09-15 06:15:30,-19100806.06024764,11467750.971599655,14413599.036148129
2021-09-15 06:16:00,-19156580.612877004,11465178.286197392,14342743.646173932
2021-09-15 06:16:30,-19212090.147201397,11462683.775059232,14271612.85545682
2021-09-15 06:17:00,-19267333.5523883,11460266.329473406,14200208.051171362
2021-09-15 06:17:30,-19322309.726484884,11457924.834779082,14128530.625550851
2021-09-15 06:18:00,-19377017.576458238,11455658.1704213,14056581.975858703
2021-09-15 06:18:30,-19431456.01823515,11453465.210006302,13984363.504359908
2021-09-15 06:19:00,-19485623.976741474,11451344.821357053,13911876.618292348
2021-09-15 06:19:30,-19539520.385941207,11449295.866568964,13839122.729838002
2021-09-15 06:20:00,-19593144.188875135,11447317.202065967,13766103.25609412
2021-09-15 06:20:30,-19646494.337699,11445407.678656742,13692819.619044313
2021-09-15 06:21:00,-19699569.79372143,11443566.141591229,13619273.245529551
2021-09-15 06:21:30,-19752369.52744135,11441791.430617366,13545465.567219077
2021-09-15 06:22:00,-19804892.518585104,11440082.380038058,13471398.02058125
2021-09-15 06:22:30,-19857137.756143056,11438437.818768414,13397072.046854345
2021-09-15 06:23:00,-19909104.238405943,11436856.57039313,13322489.092017192
2021-09-15 06:23:30,-19960790.973000675,11435337.453224223,13247650.606759874
2021-09-15 06:24:00,-20012196.97692586,11433879.280358884,13172558.046454212
2021-09-15 06:24:30,-20063321.276586883,11432480.859737573,13097212.871124238
2021-09-15 06:25:00,-20114162.907830525,11431140.994202428,13021616.545416664
2021-09-15 06:25:30,-20164720.915979307,11429858.481555734,12945770.538571125
2021-09-15 06:26:00,-20214994.355865296,11428632.114618743,12869676.324390491
2021-09-15 06:26:30,-20264982.2918636,11427460.681290625,12793335.381211022
2021-09-15 06:27:00,-20314683.797925383,11426342.964607678,12716749.191872524
2021-09-15 06:27:30,-20364097.957610562,11425277.74280271,12639919.243688343
2021-09-15 06:28:00,-20413223.864119973,11424263.789364628,12562847.028415404
2021-09-15 06:28:30,-20462060.620327257,11423299.873098254,12485534.042224055
2021-09-15 06:29:00,-20510607.338810198,11422384.75818434,12407981.785667997
2021-09-15 06:29:30,-20558863.14188181,11421517.204239694,12330191.763653956
2021-09-15 06:30:00,-20606827.161620818,11420695.966377668,12252165.485411506
2021-09-15 06:30:30,-20654498.539901916,11419919.795268642,12173904.464462625
2021-09-15 06:31:00,-20701876.42842545,11419187.437200826,12095410.2185913
2021-09-15 06:31:30,-20748959.988746773,11418497.634141242,12016684.269813115
2021-09-15 06:32:00,-20795748.39230516,11417849.123796798,11937728.144344594
2021-09-15 06:32:30,-20842240.820452318,11417240.639675632,11858543.372572672
2021-09-15 06:33:00,-20888436.464480396,11416670.911148606,11779131.489023997
2021-09-15 06:33:30,-20934334.52564973,11416138.663510945,11699494.032334214
2021-09-15 06:34:00,-20979934.215215985,11415642.618044063,11619632.54521714
2021-09-15 06:34:30,-21025234.754457004,11415181.492077624,11539548.574433977
2021-09-15 06:35:00,-21070235.374699134,11414753.999051638,11459243.670762356
2021-09-15 06:35:30,-21114935.317343283,11414358.84857881,11378719.388965355
2021-09-15 06:36:00,-21159333.833890334,11413994.746507056,11297977.287760524
2021-09-15 06:36:30,-21203430.185966305,11413660.394982118,11217018.929788763
2021-09-15 06:37:00,-21247223.645347,11413354.492510395,11135845.881583229
2021-09-15 06:37:30,-21290713.49398226,11413075.73402185,11054459.713538064
2021-09-15 06:38:00,-21333899.024019755,11412822.810933152,10972861.999877227
2021-09-15 06:38:30,-21376779.537828412,11412594.411210919,10891054.318623157
2021-09-15 06:39:00,-21419354.348021276,11412389.219435086,10809038.251565417
2021-09-15 06:39:30,-21461622.77747812,11412205.916862436,10726815.384229265
2021-09-15 06:40:00,-21503584.159367483,11412043.181490295,10644387.305844227
2021-09-15 06:40:30,-21545237.837168317,11411899.688120298,10561755.609312562
2021-09-15 06:41:00,-21586583.164691176,11411774.10842237,10478921.891177734
2021-09-15 06:41:30,-21627619.506099083,11411665.110998737,10395887.751592733
2021-09-15 06:42:00,-21668346.235927776,11411571.361448143,10312654.794288458
2021-09-15 06:42:30,-21708762.739105657,11411491.522430168,10229224.62654202
2021-09-15 06:43:00,-21748868.410973273,11411424.253729636,10145598.859144919
2021-09-15 06:43:30,-21788662.657302327,11411368.212321186,10061779.106371285
2021-09-15 06:44:00,-21828144.89431426,11411322.05243393,9977766.98594603
2021-09-15 06:44:30,-21867314.548698448,11411284.425616223,9893564.119012892
2021-09-15 06:45:00,-21906171.05762987,11411253.980800565,9809172.130102558
2021-09-15 06:45:30,-21944713.8687864,11411229.364368577,9724592.647100614
2021-09-15 06:46:00,-21982942.44036564,11411209.220216107,9639827.301215561
2021-09-15 06:46:30,-22020856.24110131,11411192.18981841,9554877.726946695
2021-09-15 06:47:00,-22058454.750279218,11411176.912295459,9469745.56205199
2021-09-15 06:47:30,-22095737.457752716,11411162.024477318,9384432.447515965
2021-09-15 06:48:00,-22132703.8639578,11411146.160969652,9298940.027517483
2021-09-15 06:48:30,-22169353.479927786,11411127.954219226,9213269.949397396
2021-09-15 06:49:00,-22205685.82730736,11411106.034579635,9127423.863626432
2021-09-15 06:49:30,-22241700.438366413,11411079.030377017,9041403.423772763
2021-09-15 06:50:00,-22277396.85601331,11411045.567975834,8955210.286469625
2021-09-15 06:50:30,-22312774.633807722,11411004.271844829,8868846.111382999
2021-09-15 06:51:00,-22347833.335973024,11410953.764622942,8782312.5611791
2021-09-15 06:51:30,-22382572.53740831,11410892.66718537,8695611.301491905
2021-09-15 06:52:00,-22416991.823699776,11410819.598709712,8608744.000890724
2021-09-15 06:52:30,-22451090.791131925,11410733.176742058,8521712.330847515
2021-09-15 06:53:00,-22484869.046698086,11410632.017263345,8434517.96570445
2021-09-15 06:53:30,-22518326.208110653,11410514.734755533,8347162.58264116
2021-09-15 06:54:00,-22551461.903810762,11410379.942268044,8259647.861642163
2021-09-15 06:54:30,-22584275.772977583,11410226.251484167,8171975.48546422
2021-09-15 06:55:00,-22616767.465537164,11410052.272787474,8084147.139603513
2021-09-15 06:55:30,-22648936.642170824,11409856.615328372,7996164.512262967
2021-09-15 06:56:00,-22680782.974323053,11409637.887090623,7908029.294319457
2021-09-15 06:56:30,-22712306.14420904,11409394.69495799,7819743.1792910285
2021-09-15 06:57:00,-22743505.844821695,11409125.644780824,7731307.863303987
2021-09-15 06:57:30,-22774381.779938255,11408829.341442786,7642725.045060136
2021-09-15 06:58:00,-22804933.664126415,11408504.388927516,7553996.425803797
2021-09-15 06:58:30,-22835161.222750064,11408149.390385384,7465123.7092889035
2021-09-15 06:59:00,-22865064.191974487,11407762.948200293,7376108.601746109
2021-09-15 06:59:30,-22894642.318771247,11407343.664056417,7286952.81184972
2021-09-15 08:00:00,-26216781.626188587,-2821413.89295613,-4007748.397572235
